[2026-04-06 13:55:35 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/coleccion/semana-de-la-familia-2015/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:35 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/coleccion/semana-la-ultima-esperanza/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:35 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/coleccion/semana-santa/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:35 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/coleccion/semana-santa-2014/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:35 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/coleccion/semana-santa-2016/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:35 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/coleccion/testimonio-semana-mayordomia-cristiana-2014/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:35 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/coleccion/testimonio-semana-mayordomia-cristiana-2015/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:35 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/coleccion/testimonios-misioneros/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:35 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/coleccion/testimonios-plenariadsa-2013/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:35 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/coleccion/unidos-en-oracion/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:35 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/coleccion/videoclips-nuevo-tiempo/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:35 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/coleccion/yo-conozco-mi-historia-series/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:35 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/coleccion/yo-pienso-asi/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:36 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/sede-regional/dsa/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:36 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/sede-regional/ua/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:36 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/sede-regional/ub/  have been purged, triggered by action: edit_terms 
